"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case verifies the hover behavior of products in the Featured Items section, ensuring that overlays and Add to Cart buttons appear correctly.","4376","Validating Featured Items product hover behavior","chromium","Thu Nov 27 23:10:02 UTC 2025","passed","Thu Nov 27 23:10:06 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This is a background step that ensures the home page is fully loaded before executing any test cases within this suite.","15199","Validating home page load","chromium","Wed Nov 26 01:51:13 UTC 2025","passed","Wed Nov 26 01:51:28 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","0","TC2 - Login User with correct email and password","chromium","Thu Nov 27 23:10:07 UTC 2025","skipped","Thu Nov 27 23:10:07 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","7397","validating carrousel","webkit","Thu Nov 27 16:59:44 UTC 2025","failed","Thu Nov 27 16:59:51 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case verifies that the buttons on each carrousel slide are visible and functional, ensuring users can interact with them as intended.","1631","Validating carrousel slide buttons visibility and functionality","firefox","Thu Nov 27 23:10:26 UTC 2025","passed","Thu Nov 27 23:10:28 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case checks the visibility and correctness of the title in the Featured Items section on the home page.","1132","Validating Featured Items section title visibility and text","firefox","Thu Nov 27 23:10:28 UTC 2025","passed","Thu Nov 27 23:10:29 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","0","TC6 - Contact Us Form","firefox","Thu Nov 27 23:10:36 UTC 2025","skipped","Thu Nov 27 23:10:36 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","6905","validating carrousel buttons","webkit","Thu Nov 27 16:59:45 UTC 2025","failed","Thu Nov 27 16:59:52 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","1212","TC7 - Verify Test Cases Page","chromium","Thu Nov 27 23:10:07 UTC 2025","passed","Thu Nov 27 23:10:09 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","0","TC2 - Login User with correct email and password","firefox","Thu Nov 27 23:10:36 UTC 2025","skipped","Thu Nov 27 23:10:36 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case verifies the hover behavior of products in the Featured Items section, ensuring that overlays and Add to Cart buttons appear correctly.","4857","Validating Featured Items product hover behavior","firefox","Thu Nov 27 23:10:29 UTC 2025","passed","Thu Nov 27 23:10:34 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case validates the presence, visibility, and functionality of the main menu items on the home page.","1674","Validating menu items functionality","firefox","Thu Nov 27 23:10:21 UTC 2025","passed","Thu Nov 27 23:10:22 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","1","TC4 - Logout User","chromium","Thu Nov 27 23:10:07 UTC 2025","skipped","Thu Nov 27 23:10:07 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","0","TC2 - Login User with correct email and password","webkit","Thu Nov 27 23:11:16 UTC 2025","skipped","Thu Nov 27 23:11:16 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","1371","TC10 - Verify Subscription in home page","firefox","Thu Nov 27 23:10:42 UTC 2025","passed","Thu Nov 27 23:10:43 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","0","TC6 - Contact Us Form","chromium","Thu Nov 27 23:10:07 UTC 2025","skipped","Thu Nov 27 23:10:07 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","1784","TC10 - Verify Subscription in home page","webkit","Thu Nov 27 23:11:25 UTC 2025","passed","Thu Nov 27 23:11:26 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","0","TC1 - Register User (Need to implement an delay in some point)","firefox","Thu Nov 27 23:10:36 UTC 2025","skipped","Thu Nov 27 23:10:36 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"This test case checks if the logo is visible on the home page and verifies its alt attribute for accessibility compliance.","1767","Validating logo visibility and alt attribute","firefox","Thu Nov 27 23:10:19 UTC 2025","passed","Thu Nov 27 23:10:21 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","0","TC5 - Register User with existing email","firefox","Thu Nov 27 23:10:36 UTC 2025","skipped","Thu Nov 27 23:10:36 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","36959","validating Featured Itens overlay and Add to cart button","webkit","Sat Nov 22 16:58:04 UTC 2025","broken","Sat Nov 22 16:58:41 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case checks the functionality of the carrousel on the home page, ensuring that navigation buttons work correctly and the appropriate slides are displayed.","3575","Validating carrousel navigation functionality","chromium","Thu Nov 27 23:09:55 UTC 2025","passed","Thu Nov 27 23:09:59 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case checks if the logo is visible on the home page and verifies its alt attribute for accessibility compliance.","2051","Validating logo visibility and alt attribute","webkit","Thu Nov 27 23:10:54 UTC 2025","passed","Thu Nov 27 23:10:56 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"This test case validates the presence, visibility, and functionality of the main menu items on the home page.","1051","Validating menu items functionality","chromium","Thu Nov 27 23:09:54 UTC 2025","passed","Thu Nov 27 23:09:55 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
"","1286","TC10 - Verify Subscription in home page","chromium","Thu Nov 27 23:10:14 UTC 2025","passed","Thu Nov 27 23:10:16 UTC 2025","Automation Exercise Test Suite","tests-generated-and-fixed-byAI.spec.ts","",""
"","28960","validating status code 200","firefox","Thu Nov 27 01:39:54 UTC 2025","passed","Thu Nov 27 01:40:23 UTC 2025","Tests for home page components","home-page-tests.spec.ts","",""
